"Id","Keyword","Parent KW Id","Indented Keywords","Full Path","Level"
6,"Explicit legal frameworks",0,"Explicit legal frameworks","Explicit legal frameworks",0
167,"laws of another country",6,"    laws of another country","Explicit legal frameworks > laws of another country",1
319,"Lex Cornelia",6,"    Lex Cornelia","Explicit legal frameworks > Lex Cornelia",1
109,"Lex Julia",6,"    Lex Julia","Explicit legal frameworks > Lex Julia",1
82,"local religions or customs",6,"    local religions or customs","Explicit legal frameworks > local religions or customs",1
223,"practice in province",6,"    practice in province","Explicit legal frameworks > practice in province",1
259,"Senatus Consultum Orfitianum",6,"    Senatus Consultum Orfitianum","Explicit legal frameworks > Senatus Consultum Orfitianum",1
4,"Formula",0,"Formula","Formula",0
83,"bequeathal clause",4,"    bequeathal clause","Formula > bequeathal clause",1
23,"cursing",4,"    cursing","Formula > cursing",1
48,"double document",4,"    double document","Formula > double document",1
307,"from today and after death",4,"    from today and after death","Formula > from today and after death",1
243,"meriteia",4,"    meriteia","Formula > meriteia",1
18,"oath clauses",4,"    oath clauses","Formula > oath clauses",1
63,"penalty clause",4,"    penalty clause","Formula > penalty clause",1
144,"testament formula",4,"    testament formula","Formula > testament formula",1
260,"testamentum per aes et libram",4,"    testamentum per aes et libram","Formula > testamentum per aes et libram",1
130,"vow",4,"    vow","Formula > vow",1
3,"Legal matter",0,"Legal matter","Legal matter",0
238,"actual possession",3,"    actual possession","Legal matter > actual possession",1
344,"adoption",3,"    adoption","Legal matter > adoption",1
170,"age of legal capacity",3,"    age of legal capacity","Legal matter > age of legal capacity",1
56,"agent authority",3,"    agent authority","Legal matter > agent authority",1
323,"Agnatic Consanguinity",3,"    Agnatic Consanguinity","Legal matter > Agnatic Consanguinity",1
96,"alimentary rights",3,"    alimentary rights","Legal matter > alimentary rights",1
347,"archival registration",3,"    archival registration","Legal matter > archival registration",1
244,"burial rites",3,"    burial rites","Legal matter > burial rites",1
346,"collective acquisition",3,"    collective acquisition","Legal matter > collective acquisition",1
348,"collective freedom",3,"    collective freedom","Legal matter > collective freedom",1
176,"conditional gift",3,"    conditional gift","Legal matter > conditional gift",1
326,"Creditor Priority",3,"    Creditor Priority","Legal matter > Creditor Priority",1
245,"cretio",3,"    cretio","Legal matter > cretio",1
279,"cumulative legacy",3,"    cumulative legacy","Legal matter > cumulative legacy",1
143,"damage of deposit",3,"    damage of deposit","Legal matter > damage of deposit",1
229,"deathbed statement",3,"    deathbed statement","Legal matter > deathbed statement",1
312,"degrees of kinship",3,"    degrees of kinship","Legal matter > degrees of kinship",1
139,"diminished value",3,"    diminished value","Legal matter > diminished value",1
235,"disclaimer of inheritance",3,"    disclaimer of inheritance","Legal matter > disclaimer of inheritance",1
281,"disinheritance",3,"    disinheritance","Legal matter > disinheritance",1
227,"disputed inheritance",3,"    disputed inheritance","Legal matter > disputed inheritance",1
262,"disputed lineage",3,"    disputed lineage","Legal matter > disputed lineage",1
267,"division of estate before death",3,"    division of estate before death","Legal matter > division of estate before death",1
351,"divorce",3,"    divorce","Legal matter > divorce",1
