Id,Keyword,Parent KW Id,Indented Keywords,Full Path,Level,Suggested
6,Explicit legal frameworks,0,Explicit legal frameworks,Explicit legal frameworks,0,
4,Formula,0,Formula,Formula,0,
3,Legal matter,0,Legal matter,Legal matter,0,
5,Legal terms,0,Legal terms,Legal terms,0,
1,Objects,0,Objects,Objects,0,
137,Offices and Administration,0,Offices and Administration,Offices and Administration,0,
2,Parties,0,Parties,Parties,0,
136,Places,0,Places,Places,0,
329,Procedure,0,Procedure,Procedure,0,
138,Punishments,0,Punishments,Punishments,0,
10148,a fortiori argument,-1,    a fortiori argument,other > a fortiori argument,1,yes
10118,Bilingual document,-1,    Bilingual document,other > Bilingual document,1,yes
10236,literary example,-1,    literary example,other > literary example,1,yes
10036,aes et libra,1,    aes et libra,Objects > aes et libra,1,yes
10141,attached fruits,1,    attached fruits,Objects > attached fruits,1,yes
70,beam,1,    beam,Objects > beam,1,
186,betrothal gifts,1,    betrothal gifts,Objects > betrothal gifts,1,
306,boundaries of property,1,    boundaries of property,Objects > boundaries of property,1,
10111,catoecic land,1,    catoecic land,Objects > catoecic land,1,yes
140,coin,1,    coin,Objects > coin,1,
271,country property,1,    country property,Objects > country property,1,
62,currency,1,    currency,Objects > currency,1,
304,debt,1,    debt,Objects > debt,1,
87,debt document,1,    debt document,Objects > debt document,1,
10122,deed of gift,1,    deed of gift,Objects > deed of gift,1,yes
122,deposit,1,    deposit,Objects > deposit,1,
8,donkey,1,    donkey,Objects > donkey,1,
198,dowry property,1,    dowry property,Objects > dowry property,1,
10178,fungible goods,1,    fungible goods,Objects > fungible goods,1,yes
10142,gathered fruits,1,    gathered fruits,Objects > gathered fruits,1,yes
73,gift,1,    gift,Objects > gift,1,
183,gifts of groomsmen,1,    gifts of groomsmen,Objects > gifts of groomsmen,1,
286,grave,1,    grave,Objects > grave,1,
121,guilt offering,1,    guilt offering,Objects > guilt offering,1,
268,house in the city,1,    house in the city,Objects > house in the city,1,
270,livestock,1,    livestock,Objects > livestock,1,
32,loan,1,    loan,Objects > loan,1,
101,marriage contract,1,    marriage contract,Objects > marriage contract,1,
185,marriage presents,1,    marriage presents,Objects > marriage presents,1,
273,maternal estate,1,    maternal estate,Objects > maternal estate,1,
72,palm grove,1,    palm grove,Objects > palm grove,1,
10144,Partnership property,1,    Partnership property,Objects > Partnership property,1,yes
330,paternal estate,1,    paternal estate,Objects > paternal estate,1,
161,peculium,1,    peculium,Objects > peculium,1,
60,property,1,    property,Objects > property,1,
213,public document,1,    public document,Objects > public document,1,
10180,Public property,1,    Public property,Objects > Public property,1,yes
10181,Sacred property,1,    Sacred property,Objects > Sacred property,1,yes
10114,Seal,1,    Seal,Objects > Seal,1,yes
59,slave,1,    slave,Objects > slave,1,
80,statute,1,    statute,Objects > statute,1,
158,tablets,1,    tablets,Objects > tablets,1,
10001,Testament,1,    Testament,Objects > Testament,1,yes
181,adult,2,    adult,Parties > adult,1,
10026,agnate,2,    agnate,Parties > agnate,1,yes
10164,Arbiter,2,    Arbiter,Parties > Arbiter,1,yes
10216,ascendants,2,    ascendants,Parties > ascendants,1,yes
204,bastard,2,    bastard,Parties > bastard,1,
10078,blind person,2,    blind person,Parties > blind person,1,yes
10008,Bride,2,    Bride,Parties > Bride,1,yes
66,brother,2,    brother,Parties > brother,1,
147,buyer,2,    buyer,Parties > buyer,1,
160,child,2,    child,Parties > child,1,
10244,children already born,2,    children already born,Parties > children already born,1,yes
10106,citizen,2,    citizen,Parties > citizen,1,yes
297,co-heirs,2,    co-heirs,Parties > co-heirs,1,
10201,consul,2,    consul,Parties > consul,1,yes
201,convert,2,    convert,Parties > convert,1,
10156,Court-appointed guardian,2,    Court-appointed guardian,Parties > Court-appointed guardian,1,yes
142,craftsman,2,    craftsman,Parties > craftsman,1,
195,creditor,2,    creditor,Parties > creditor,1,
108,curator,2,    curator,Parties > curator,1,
172,daughter,2,    daughter,Parties > daughter,1,
10169,daughter-in-law,2,    daughter-in-law,Parties > daughter-in-law,1,yes
152,deaf,2,    deaf,Parties > deaf,1,
10053,dediticii,2,    dediticii,Parties > dediticii,1,yes
10056,deity,2,    deity,Parties > deity,1,yes
162,dependents,2,    dependents,Parties > dependents,1,
10235,donee,2,    donee,Parties > donee,1,yes
10234,donor,2,    donor,Parties > donor,1,yes
10012,dying person,2,    dying person,Parties > dying person,1,yes
10077,eunuch,2,    eunuch,Parties > eunuch,1,yes
10062,extraneus heres,2,    extraneus heres,Parties > extraneus heres,1,yes
10034,familiae emptor,2,    familiae emptor,Parties > familiae emptor,1,yes
150,father,2,    father,Parties > father,1,
10199,fideicommissary,2,    fideicommissary,Parties > fideicommissary,1,yes
224,firstborn,2,    firstborn,Parties > firstborn,1,
165,freedperson,2,    freedperson,Parties > freedperson,1,
168,freedperson without citizen rights,2,    freedperson without citizen rights,Parties > freedperson without citizen rights,1,
10027,gentiles,2,    gentiles,Parties > gentiles,1,yes
274,grandchild,2,    grandchild,Parties > grandchild,1,
10007,Groom,2,    Groom,Parties > Groom,1,yes
242,guardian,2,    guardian,Parties > guardian,1,
10013,healthy person,2,    healthy person,Parties > healthy person,1,yes
178,heir,2,    heir,Parties > heir,1,
10123,husband,2,    husband,Parties > husband,1,yes
249,illegitimate child,2,    illegitimate child,Parties > illegitimate child,1,
10112,illiterate party,2,    illiterate party,Parties > illiterate party,1,yes
10209,incapax,2,    incapax,Parties > incapax,1,yes
200,indirect heir,2,    indirect heir,Parties > indirect heir,1,
175,intersex person,2,    intersex person,Parties > intersex person,1,
10131,Judge,2,    Judge,Parties > Judge,1,yes
156,Junian Latin,2,    Junian Latin,Parties > Junian Latin,1,
10103,Jurist,2,    Jurist,Parties > Jurist,1,yes
10127,king,2,    king,Parties > king,1,yes
