"Id","Topic","Parent Topic Id","Indented Topics","Full Path","Level"
4,"Courts and Procedure",0,"Courts and Procedure","Courts and Procedure",0
20,"Appeal",4,"    Appeal","Courts and Procedure > Appeal",1
16,"Courts",4,"    Courts","Courts and Procedure > Courts",1
100,"Arbitration",16,"        Arbitration","Courts and Procedure > Courts > Arbitration",2
99,"Choice of Judges",16,"        Choice of Judges","Courts and Procedure > Courts > Choice of Judges",2
17,"Evidence",4,"    Evidence","Courts and Procedure > Evidence",1
109,"Archiving",17,"        Archiving","Courts and Procedure > Evidence > Archiving",2
102,"Documentary Evidence",17,"        Documentary Evidence","Courts and Procedure > Evidence > Documentary Evidence",2
101,"Witnesses",17,"        Witnesses","Courts and Procedure > Evidence > Witnesses",2
19,"Execution",4,"    Execution","Courts and Procedure > Execution",1
18,"Oaths",4,"    Oaths","Courts and Procedure > Oaths",1
121,"Procedure",4,"    Procedure","Courts and Procedure > Procedure",1
122,"Confession",121,"        Confession","Courts and Procedure > Procedure > Confession",2
3,"Obligations",0,"Obligations","Obligations",0
14,"Consensual Contract",3,"    Consensual Contract","Obligations > Consensual Contract",1
79,"Deposit",14,"        Deposit","Obligations > Consensual Contract > Deposit",2
90,"Responsibility of depositee",79,"            Responsibility of depositee","Obligations > Consensual Contract > Deposit > Responsibility of depositee",3
78,"Letting and Hiring",14,"        Letting and Hiring","Obligations > Consensual Contract > Letting and Hiring",2
88,"Emphyteusis",78,"            Emphyteusis","Obligations > Consensual Contract > Letting and Hiring > Emphyteusis",3
85,"Labour",78,"            Labour","Obligations > Consensual Contract > Letting and Hiring > Labour",3
86,"Land Tenancy",78,"            Land Tenancy","Obligations > Consensual Contract > Letting and Hiring > Land Tenancy",3
89,"Misthosis",78,"            Misthosis","Obligations > Consensual Contract > Letting and Hiring > Misthosis",3
74,"Loan and Pledge",14,"        Loan and Pledge","Obligations > Consensual Contract > Loan and Pledge",2
80,"Interest",74,"            Interest","Obligations > Consensual Contract > Loan and Pledge > Interest",3
81,"Real security",74,"            Real security","Obligations > Consensual Contract > Loan and Pledge > Real security",3
82,"Transfer of Debt",74,"            Transfer of Debt","Obligations > Consensual Contract > Loan and Pledge > Transfer of Debt",3
77,"Mandate",14,"        Mandate","Obligations > Consensual Contract > Mandate",2
76,"Partnership",14,"        Partnership","Obligations > Consensual Contract > Partnership",2
75,"Sale",14,"        Sale","Obligations > Consensual Contract > Sale",2
