sheet,language,n_samples,avg_precision_before,avg_recall_before,avg_jaccard_before,avg_precision_after,avg_recall_after,avg_jaccard_after,avg_delta_precision,avg_delta_recall,avg_delta_jaccard
claude_opus4_6,All,34,0.1658,0.3571,0.1280,0.4627,0.5921,0.3524,0.2970,0.2350,0.2244
claude_opus4_6,Aramaic,1,0.1006,0.5278,0.0812,0.3090,0.7008,0.2867,0.2083,0.1731,0.2054
claude_opus4_6,Greek,32,0.1641,0.3316,0.1246,0.4704,0.5760,0.3539,0.3062,0.2443,0.2293
claude_opus4_6,Latin,1,0.2837,1.0000,0.2837,0.3725,1.0000,0.3725,0.0889,0.0000,0.0889
w_en_claude_opus4_6,All,55,0.2752,0.5458,0.2281,0.6498,0.7831,0.5675,0.3746,0.2373,0.3393
w_en_claude_opus4_6,Hebrew,39,0.3010,0.5527,0.2415,0.6416,0.7656,0.5607,0.3407,0.2129,0.3192
w_en_claude_opus4_6,Latin,16,0.2124,0.5290,0.1956,0.6698,0.8256,0.5839,0.4574,0.2966,0.3883
gemini_3_pro,All,33,0.2204,0.3390,0.1571,0.5490,0.5833,0.4096,0.3286,0.2443,0.2526
gemini_3_pro,Aramaic,1,0.1333,0.4444,0.1143,0.4111,0.6566,0.3743,0.2778,0.2121,0.2600
gemini_3_pro,Greek,31,0.2138,0.3142,0.1470,0.5519,0.5675,0.4048,0.3382,0.2532,0.2578
gemini_3_pro,Latin,1,0.5119,1.0000,0.5119,0.5952,1.0000,0.5952,0.0833,0.0000,0.0833
w_en_gemini_3_pro,All,55,0.2929,0.5042,0.2430,0.7304,0.7997,0.6375,0.4374,0.2955,0.3945
w_en_gemini_3_pro,Hebrew,39,0.3009,0.5134,0.2424,0.6864,0.7799,0.5949,0.3855,0.2665,0.3525
w_en_gemini_3_pro,Latin,16,0.2735,0.4817,0.2445,0.8375,0.8481,0.7413,0.5641,0.3664,0.4968
qwen_3_5,All,33,0.1739,0.2544,0.1127,0.4486,0.4834,0.3155,0.2747,0.2290,0.2028
qwen_3_5,Aramaic,1,0.2111,0.4444,0.1278,0.4059,0.5555,0.3151,0.1948,0.1111,0.1873
qwen_3_5,Greek,31,0.1696,0.2349,0.1091,0.4539,0.4751,0.3172,0.2844,0.2402,0.2081
qwen_3_5,Latin,1,0.2699,0.6667,0.2083,0.3254,0.6667,0.2639,0.0556,0.0000,0.0556
w_en_qwen_3_5,All,53,0.2863,0.4454,0.2277,0.6868,0.7091,0.5690,0.4004,0.2637,0.3413
w_en_qwen_3_5,Hebrew,38,0.2814,0.4349,0.2135,0.6540,0.7024,0.5355,0.3726,0.2675,0.3219
w_en_qwen_3_5,Latin,15,0.2988,0.4718,0.2635,0.7697,0.7259,0.6540,0.4709,0.2541,0.3905
