sheet,language,n_samples,vector,precision_before,precision_after,delta_precision,recall_before,recall_after,delta_recall,jaccard_before,jaccard_after,delta_jaccard
claude_opus4_6,All,34,keywords,0.1560,0.3772,0.2213,0.4929,0.6335,0.1405,0.1289,0.3272,0.1982
claude_opus4_6,All,34,fields,0.1613,0.6632,0.5020,0.2108,0.5441,0.3333,0.1062,0.4238,0.3176
claude_opus4_6,All,34,index,0.1801,0.3478,0.1677,0.3675,0.5987,0.2312,0.1488,0.3063,0.1575
claude_opus4_6,Aramaic,1,keywords,0.0833,0.5417,0.4583,1.0000,1.0000,0.0000,0.0833,0.5417,0.4583
claude_opus4_6,Aramaic,1,fields,0.2000,0.2000,0.0000,0.3333,0.3333,0.0000,0.1429,0.1429,0.0000
claude_opus4_6,Aramaic,1,index,0.0185,0.1852,0.1667,0.2500,0.7692,0.5192,0.0175,0.1754,0.1579
claude_opus4_6,Greek,32,keywords,0.1610,0.3735,0.2124,0.4612,0.6106,0.1493,0.1323,0.3203,0.1880
claude_opus4_6,Greek,32,fields,0.1443,0.6776,0.5333,0.1823,0.5365,0.3542,0.0875,0.4250,0.3375
claude_opus4_6,Greek,32,index,0.1871,0.3600,0.1730,0.3514,0.5808,0.2294,0.1539,0.3163,0.1624
claude_opus4_6,Latin,1,keywords,0.0667,0.3333,0.2667,1.0000,1.0000,0.0000,0.0667,0.3333,0.2667
claude_opus4_6,Latin,1,fields,0.6667,0.6667,0.0000,1.0000,1.0000,0.0000,0.6667,0.6667,0.0000
claude_opus4_6,Latin,1,index,0.1176,0.1176,0.0000,1.0000,1.0000,0.0000,0.1176,0.1176,0.0000
w_en_claude_opus4_6,All,55,keywords,0.2241,0.6805,0.4564,0.7861,0.9441,0.1580,0.2103,0.6485,0.4382
w_en_claude_opus4_6,All,55,fields,0.3788,0.7697,0.3909,0.3258,0.6164,0.2906,0.2773,0.5876,0.3103
w_en_claude_opus4_6,All,55,index,0.2228,0.4993,0.2765,0.5255,0.7887,0.2632,0.1968,0.4663,0.2694
w_en_claude_opus4_6,Hebrew,39,keywords,0.2171,0.7352,0.5181,0.7491,0.9306,0.1815,0.1997,0.6928,0.4931
w_en_claude_opus4_6,Hebrew,39,fields,0.4444,0.7735,0.3291,0.3782,0.6406,0.2624,0.3141,0.6064,0.2923
w_en_claude_opus4_6,Hebrew,39,index,0.2414,0.4161,0.1748,0.5308,0.7255,0.1948,0.2106,0.3829,0.1723
w_en_claude_opus4_6,Latin,16,keywords,0.2412,0.5472,0.3060,0.8765,0.9770,0.1005,0.2362,0.5406,0.3044
w_en_claude_opus4_6,Latin,16,fields,0.2188,0.7604,0.5417,0.1979,0.5573,0.3594,0.1875,0.5417,0.3542
w_en_claude_opus4_6,Latin,16,index,0.1773,0.7019,0.5246,0.5125,0.9425,0.4300,0.1632,0.6695,0.5063
gemini_3_pro,All,33,keywords,0.2510,0.4656,0.2146,0.4425,0.5631,0.1206,0.1788,0.3443,0.1656
gemini_3_pro,All,33,fields,0.1177,0.6152,0.4975,0.1641,0.5177,0.3535,0.0806,0.4321,0.3515
gemini_3_pro,All,33,index,0.2924,0.5662,0.2738,0.4103,0.6690,0.2587,0.2119,0.4525,0.2406
gemini_3_pro,Aramaic,1,keywords,0.2000,0.7000,0.5000,1.0000,1.0000,0.0000,0.2000,0.7000,0.5000
gemini_3_pro,Aramaic,1,fields,0.2000,0.2000,0.0000,0.3333,0.3333,0.0000,0.1429,0.1429,0.0000
gemini_3_pro,Aramaic,1,index,0.0000,0.3333,0.3333,0.0000,0.6364,0.6364,0.0000,0.2800,0.2800
gemini_3_pro,Greek,31,keywords,0.2527,0.4570,0.2042,0.4065,0.5349,0.1284,0.1758,0.3278,0.1520
gemini_3_pro,Greek,31,fields,0.0866,0.6161,0.5296,0.1317,0.5081,0.3763,0.0489,0.4231,0.3742
gemini_3_pro,Greek,31,index,0.3020,0.5827,0.2807,0.4045,0.6594,0.2549,0.2163,0.4635,0.2471
gemini_3_pro,Latin,1,keywords,0.2500,0.5000,0.2500,1.0000,1.0000,0.0000,0.2500,0.5000,0.2500
gemini_3_pro,Latin,1,fields,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000
gemini_3_pro,Latin,1,index,0.2857,0.2857,0.0000,1.0000,1.0000,0.0000,0.2857,0.2857,0.0000
w_en_gemini_3_pro,All,55,keywords,0.3400,0.7718,0.4317,0.6580,0.8569,0.1989,0.2979,0.6938,0.3959
w_en_gemini_3_pro,All,55,fields,0.2845,0.7569,0.4723,0.3076,0.7088,0.4012,0.2118,0.6087,0.3969
w_en_gemini_3_pro,All,55,index,0.2541,0.6624,0.4083,0.5470,0.8335,0.2865,0.2192,0.6099,0.3907
w_en_gemini_3_pro,Hebrew,39,keywords,0.3070,0.7677,0.4606,0.6149,0.8663,0.2514,0.2625,0.6885,0.4260
w_en_gemini_3_pro,Hebrew,39,fields,0.3115,0.7016,0.3900,0.3526,0.6722,0.3197,0.2218,0.5538,0.3321
w_en_gemini_3_pro,Hebrew,39,index,0.2841,0.5899,0.3058,0.5726,0.8011,0.2284,0.2428,0.5423,0.2994
w_en_gemini_3_pro,Latin,16,keywords,0.4205,0.7817,0.3612,0.7629,0.8340,0.0711,0.3842,0.7067,0.3225
w_en_gemini_3_pro,Latin,16,fields,0.2188,0.8917,0.6729,0.1979,0.7979,0.6000,0.1875,0.7424,0.5549
w_en_gemini_3_pro,Latin,16,index,0.1811,0.8391,0.6581,0.4844,0.9125,0.4281,0.1617,0.7748,0.6131
qwen_3_5,All,33,keywords,0.1674,0.4023,0.2349,0.3065,0.5114,0.2049,0.1145,0.2968,0.1823
