ref_id,gemini,qwen,claude
Mishnah Bava batra 8:1,True,True,True
Mishnah Bava batra 8:2,True,True,True
Mishnah Bava batra 8:3,True,True,True
Mishnah Bava batra 8:4,True,True,True
Mishnah Bava batra 8:5,True,True,True
Mishnah Bava batra 8:6,True,True,True
Mishnah Bava batra 8:7,True,True,True
Mishnah Bava batra 8:8,True,True,True
Mishnah Bava batra 9:1,True,True,True
Mishnah Bava batra 9:2,True,True,True
Mishnah Bava batra 9:3,True,True,True
Mishnah Bava batra 9:4,True,True,True
Mishnah Bava batra 9:5,True,True,True
Mishnah Bava batra 9:6,True,True,True
Mishnah Bava batra 9:7,True,True,True
Mishnah Bava batra 9:8,True,True,True
Mishnah Bava batra 9:9,True,True,True
Mishnah Bava batra 9:10,True,True,True
Tosefta Bava Batra 7:1,True,True,True
Tosefta Bava Batra 7:2,True,True,True
Tosefta Bava Batra 7:3,True,True,True
Tosefta Bava Batra 7:4,True,True,True
Tosefta Bava Batra 7:5,True,False,True
Tosefta Bava Batra 7:6,True,True,True
Tosefta Bava Batra 7:7,True,True,True
Tosefta Bava Batra 7:8,True,True,True
Tosefta Bava Batra 7:9,True,True,True
Tosefta Bava Batra 7:10,True,True,True
Tosefta Bava Batra 7:11,True,True,True
Tosefta Bava Batra 7:12,True,True,True
Tosefta Bava Batra 7:13,True,True,True
Tosefta Bava Batra 7:14,True,True,True
Tosefta Bava Batra 7:15,True,True,True
Tosefta Bava Batra 7:16,True,True,True
Tosefta Bava Batra 7:17,True,True,True
Tosefta Bava Batra 8:3,True,True,True
Tosefta Bava Batra 8:4,True,True,True
Tosefta Bava Batra 8:5,True,True,True
Tosefta Bava Batra 8:9,True,True,True
"Ulp. 20, 1",True,True,True
"Ulp. 20, 2",True,True,True
"Ulp. 20, 3",True,False,True
"Ulp. 20, 4",True,True,True
"Ulp. 20, 5",True,True,True
"Ulp. 20, 6",True,True,True
"Ulp. 20, 7",True,True,True
"Ulp. 20, 8",True,True,True
"Ulp. 20, 9",True,True,True
"Ulp. 20, 10",True,True,True
"Ulp. 20, 11",True,True,True
"Ulp. 20, 12",True,True,True
"Ulp. 20, 13",True,True,True
"Ulp. 20, 14",True,True,True
"Ulp. 20, 15",True,True,True
"Ulp. 20, 16",True,True,True
Lat. Insc. 7,True,True,True
Egypt P. 9056,True,True,True
Gnomon 4,True,True,True
Gnomon 5,True,True,True
Gnomon 6,True,True,True
Gnomon 7,True,True,True
Gnomon 8,True,True,True
Gnomon 9,True,True,True
Gnomon 10,True,True,True
Gnomon 11,True,True,True
Gnomon 12,True,True,True
Gnomon 13,True,True,True
Gnomon 14,True,True,True
Gnomon 15,True,True,True
Gnomon 16,True,True,True
Gnomon 17,True,True,True
Gnomon 18,True,True,True
Gnomon 19,True,True,True
Gnomon 20,True,True,True
Egypt P. 22244,True,True,True
Egypt P. 20764,True,True,True
Egypt P. 11572,True,True,True
N.E. P. 23499,True,True,True
N.E. P. 1000,True,True,True
Grk. Insc. 10020,True,True,True
Grk. Insc. 10024,True,True,True
Gort. 7,True,True,True
Gort. 9,False,False,True
Jos.W. 2 93,True,True,True
Jos.W. 2 94,True,True,True
Jos.W. 2 95,True,True,True
Jos.W. 2 98,True,True,True
Jos.W. 2 99,True,True,True
Jos.W. 2 100,True,True,True
