rank,sheet,n_samples,vector,precision_before,recall_before,jaccard_before,precision_after,recall_after,jaccard_after,delta_precision,delta_recall,delta_jaccard
1,w_en_qwen_3_5,53,keywords,0.2953,0.6172,0.2591,0.7789,0.8539,0.6967,0.4836,0.2367,0.4376
2,w_en_gemini_3_pro,55,keywords,0.3400,0.6580,0.2979,0.7718,0.8569,0.6938,0.4317,0.1989,0.3959
3,w_en_claude_opus4_6,55,keywords,0.2241,0.7861,0.2103,0.6805,0.9441,0.6485,0.4564,0.1580,0.4382
4,gemini_3_pro,33,keywords,0.2510,0.4425,0.1788,0.4656,0.5631,0.3443,0.2146,0.1206,0.1656
5,claude_opus4_6,34,keywords,0.1560,0.4929,0.1289,0.3772,0.6335,0.3272,0.2213,0.1405,0.1982
6,qwen_3_5,33,keywords,0.1674,0.3065,0.1145,0.4023,0.5114,0.2968,0.2349,0.2049,0.1823
1,w_en_gemini_3_pro,55,fields,0.2845,0.3076,0.2118,0.7569,0.7088,0.6087,0.4723,0.4012,0.3969
2,w_en_claude_opus4_6,55,fields,0.3788,0.3258,0.2773,0.7697,0.6164,0.5876,0.3909,0.2906,0.3103
3,w_en_qwen_3_5,53,fields,0.3437,0.2805,0.2390,0.7154,0.5365,0.5006,0.3717,0.2560,0.2616
4,gemini_3_pro,33,fields,0.1177,0.1641,0.0806,0.6152,0.5177,0.4321,0.4975,0.3535,0.3515
5,claude_opus4_6,34,fields,0.1613,0.2108,0.1062,0.6632,0.5441,0.4238,0.5020,0.3333,0.3176
6,qwen_3_5,33,fields,0.1449,0.1490,0.0702,0.4965,0.3596,0.2818,0.3515,0.2106,0.2116
1,w_en_gemini_3_pro,55,index,0.2541,0.5470,0.2192,0.6624,0.8335,0.6099,0.4083,0.2865,0.3907
2,w_en_qwen_3_5,53,index,0.2200,0.4384,0.1849,0.5660,0.7368,0.5097,0.3459,0.2984,0.3248
3,w_en_claude_opus4_6,55,index,0.2228,0.5255,0.1968,0.4993,0.7887,0.4663,0.2765,0.2632,0.2694
4,gemini_3_pro,33,index,0.2924,0.4103,0.2119,0.5662,0.6690,0.4525,0.2738,0.2587,0.2406
5,qwen_3_5,33,index,0.2093,0.3076,0.1533,0.4469,0.5791,0.3679,0.2376,0.2715,0.2145
6,claude_opus4_6,34,index,0.1801,0.3675,0.1488,0.3478,0.5987,0.3063,0.1677,0.2312,0.1575
